id,name,surname,email,password
1,kasia,kulas,kasia@test.pl,haslokasi
2,seba,jablonowski,seba@test.pl,hasloseby
3,Rafał,Dziedzic,rafal@test.pl,hasłorafała
4,Rafał,Dziedzic,rafal2@test.pl,hasłorafała
5,Rafał,Dziedzic,rafal3@test.pl,hasłorafała
6,Rafał,Dziedzic,rafal4@test.pl,hasłorafała
7,Rafał,Dziedzic,rafal6@test.pl,hasłorafała
8,Sebastian,Jabłonowskiii,sebastian.jablonowski@gmail.com,Testtest1234
9,Katarzyna,Kulasss,katarzyna.kulas@gmail.com,Test1234
10,Test1,Test2,Test3,Test4
11,Katarzyna,Kulas,kasiakat@test.pl,testtesttesttesr
12,Test,test,test,test
